id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,Afrique du Sud (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/afrique-du-sud.webp,
1,Afrique du Sud (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
1,Afrique du Sud (Afrique),flashcard,,2,1,text,Afrique du Sud,,
2,Algérie (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/algerie.webp,
2,Algérie (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
2,Algérie (Afrique),flashcard,,2,1,text,Algérie,,
3,Angola (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/angola.webp,
3,Angola (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
3,Angola (Afrique),flashcard,,2,1,text,Angola,,
4,Bénin (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/benin.webp,
4,Bénin (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
4,Bénin (Afrique),flashcard,,2,1,text,Bénin,,
5,Botswana (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/botswana.webp,
5,Botswana (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
5,Botswana (Afrique),flashcard,,2,1,text,Botswana,,
6,Burkina Faso (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/burkina-faso.webp,
6,Burkina Faso (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
6,Burkina Faso (Afrique),flashcard,,2,1,text,Burkina Faso,,
7,Burundi (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/burundi.webp,
7,Burundi (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
7,Burundi (Afrique),flashcard,,2,1,text,Burundi,,
8,Cameroun (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/cameroun.webp,
8,Cameroun (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
8,Cameroun (Afrique),flashcard,,2,1,text,Cameroun,,
9,Cap-Vert (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/cap-vert.webp,
9,Cap-Vert (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
9,Cap-Vert (Afrique),flashcard,,2,1,text,Cap-Vert,,
10,Comores (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/comores.webp,
10,Comores (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
10,Comores (Afrique),flashcard,,2,1,text,Comores,,
11,Côte d'Ivoire (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/cote-d-ivoire.webp,
11,Côte d'Ivoire (Afrique),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
11,Côte d'Ivoire (Afrique),flashcard,,2,1,text,Côte d'Ivoire,,
12,Djibouti (Afrique),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/djibouti.webp,
