id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,Antigua-et-Barbuda (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/antigua-et-barbuda.webp,
1,Antigua-et-Barbuda (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
1,Antigua-et-Barbuda (Amérique du Nord),flashcard,,2,1,text,Antigua-et-Barbuda,,
2,Bahamas (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bahamas.webp,
2,Bahamas (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
2,Bahamas (Amérique du Nord),flashcard,,2,1,text,Bahamas,,
3,Barbade (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/barbade.webp,
3,Barbade (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
3,Barbade (Amérique du Nord),flashcard,,2,1,text,Barbade,,
4,Belize (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/belize.webp,
4,Belize (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
4,Belize (Amérique du Nord),flashcard,,2,1,text,Belize,,
5,Canada (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/canada.webp,
5,Canada (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
5,Canada (Amérique du Nord),flashcard,,2,1,text,Canada,,
6,Costa Rica (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/costa-rica.webp,
6,Costa Rica (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
6,Costa Rica (Amérique du Nord),flashcard,,2,1,text,Costa Rica,,
7,Cuba (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/cuba.webp,
7,Cuba (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
7,Cuba (Amérique du Nord),flashcard,,2,1,text,Cuba,,
8,Dominique (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/dominique.webp,
8,Dominique (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
8,Dominique (Amérique du Nord),flashcard,,2,1,text,Dominique,,
9,États-Unis (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/etats-unis.webp,
9,États-Unis (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
9,États-Unis (Amérique du Nord),flashcard,,2,1,text,États-Unis,,
10,Grenade (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/grenade.webp,
10,Grenade (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
10,Grenade (Amérique du Nord),flashcard,,2,1,text,Grenade,,
11,Guatemala (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/guatemala.webp,
11,Guatemala (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
11,Guatemala (Amérique du Nord),flashcard,,2,1,text,Guatemala,,
12,Haïti (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/haiti.webp,
12,Haïti (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
12,Haïti (Amérique du Nord),flashcard,,2,1,text,Haïti,,
13,Honduras (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/honduras.webp,
13,Honduras (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
13,Honduras (Amérique du Nord),flashcard,,2,1,text,Honduras,,
14,Jamaïque (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/jamaique.webp,
14,Jamaïque (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
14,Jamaïque (Amérique du Nord),flashcard,,2,1,text,Jamaïque,,
15,Mexique (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/mexique.webp,
15,Mexique (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
15,Mexique (Amérique du Nord),flashcard,,2,1,text,Mexique,,
16,Nicaragua (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/nicaragua.webp,
16,Nicaragua (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
16,Nicaragua (Amérique du Nord),flashcard,,2,1,text,Nicaragua,,
17,Panama (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/panama.webp,
17,Panama (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
17,Panama (Amérique du Nord),flashcard,,2,1,text,Panama,,
18,République dominicaine (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/republique-dominicaine.webp,
18,République dominicaine (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
18,République dominicaine (Amérique du Nord),flashcard,,2,1,text,République dominicaine,,
19,Saint-Kitts-et-Nevis (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/Saint-kitts-et-nevis.webp,
19,Saint-Kitts-et-Nevis (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
19,Saint-Kitts-et-Nevis (Amérique du Nord),flashcard,,2,1,text,"Saint-Kitts-et-Nevis, Saint-Christophe-et-Niévès, ou Saint-Christophe-et-Nevis",,
20,Saint-Vincent-et-les-Grenadines (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/saint-vincent-et-les-grenadines.webp,
20,Saint-Vincent-et-les-Grenadines (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
20,Saint-Vincent-et-les-Grenadines (Amérique du Nord),flashcard,,2,1,text,Saint-Vincent-et-les-Grenadines,,
21,Sainte-Lucie (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/sainte-lucie.webp,
21,Sainte-Lucie (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
21,Sainte-Lucie (Amérique du Nord),flashcard,,2,1,text,Sainte-Lucie,,
22,Salvador (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/salvador.webp,
22,Salvador (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
22,Salvador (Amérique du Nord),flashcard,,2,1,text,Salvador,,
23,Trinité-et-Tobago (Amérique du Nord),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/trinite-et-tobago.webp,
23,Trinité-et-Tobago (Amérique du Nord),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
23,Trinité-et-Tobago (Amérique du Nord),flashcard,,2,1,text,Trinité-et-Tobago,,
