id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,Argentine (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/argentine.webp,
1,Argentine (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
1,Argentine (Amérique du Sud),flashcard,,2,1,text,Argentine,,
2,Bolivie (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bolivie.webp,
2,Bolivie (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
2,Bolivie (Amérique du Sud),flashcard,,2,1,text,Bolivie,,
3,Brésil (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bresil.webp,
3,Brésil (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
3,Brésil (Amérique du Sud),flashcard,,2,1,text,Brésil,,
4,Chili (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/chili.webp,
4,Chili (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
4,Chili (Amérique du Sud),flashcard,,2,1,text,Chili,,
5,Colombie (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/colombie.webp,
5,Colombie (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
5,Colombie (Amérique du Sud),flashcard,,2,1,text,Colombie,,
6,Équateur (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/equateur.webp,
6,Équateur (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
6,Équateur (Amérique du Sud),flashcard,,2,1,text,Équateur,,
7,Guyana (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/guyana.webp,
7,Guyana (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
7,Guyana (Amérique du Sud),flashcard,,2,1,text,Guyana,,
8,Paraguay (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/paraguay.webp,
8,Paraguay (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
8,Paraguay (Amérique du Sud),flashcard,,2,1,text,Paraguay,,
9,Pérou (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/perou.webp,
9,Pérou (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
9,Pérou (Amérique du Sud),flashcard,,2,1,text,Pérou,,
10,Suriname (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/suriname.webp,
10,Suriname (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
10,Suriname (Amérique du Sud),flashcard,,2,1,text,Suriname,,
11,Uruguay (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/uruguay.webp,
11,Uruguay (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
11,Uruguay (Amérique du Sud),flashcard,,2,1,text,Uruguay,,
12,Venezuela (Amérique du Sud),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/venezuela.webp,
12,Venezuela (Amérique du Sud),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
12,Venezuela (Amérique du Sud),flashcard,,2,1,text,Venezuela,,
