id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,Afghanistan (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/afghanistan.webp,
1,Afghanistan (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
1,Afghanistan (Asie),flashcard,,2,1,text,Afghanistan,,
2,Arabie saoudite (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/arabie-saoudite.webp,
2,Arabie saoudite (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
2,Arabie saoudite (Asie),flashcard,,2,1,text,Arabie saoudite,,
3,Arménie (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/armenie.webp,
3,Arménie (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
3,Arménie (Asie),flashcard,,2,1,text,Arménie,,
4,Azerbaïdjan (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/azerbaidjan.webp,
4,Azerbaïdjan (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
4,Azerbaïdjan (Asie),flashcard,,2,1,text,Azerbaïdjan,,
5,Bahreïn (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bahrein.webp,
5,Bahreïn (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
5,Bahreïn (Asie),flashcard,,2,1,text,Bahreïn,,
6,Bangladesh (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bangladesh.webp,
6,Bangladesh (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
6,Bangladesh (Asie),flashcard,,2,1,text,Bangladesh,,
7,Bhoutan (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bhoutan.webp,
7,Bhoutan (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
7,Bhoutan (Asie),flashcard,,2,1,text,Bhoutan,,
8,Birmanie (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/birmanie.webp,
8,Birmanie (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
8,Birmanie (Asie),flashcard,,2,1,text,Birmanie,,
9,Brunei (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/brunei.webp,
9,Brunei (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
9,Brunei (Asie),flashcard,,2,1,text,Brunei,,
10,Cambodge (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/cambodge.webp,
10,Cambodge (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
10,Cambodge (Asie),flashcard,,2,1,text,Cambodge,,
11,Chine (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/chine.webp,
11,Chine (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
11,Chine (Asie),flashcard,,2,1,text,Chine,,
12,Corée du Nord (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/coree-du-nord.webp,
12,Corée du Nord (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
12,Corée du Nord (Asie),flashcard,,2,1,text,Corée du Nord,,
13,Corée du Sud (Asie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/coree-du-sud.webp,
13,Corée du Sud (Asie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
13,Corée du Sud (Asie),flashcard,,2,1,text,Corée du Sud,,
