id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,Albanie (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/albanie.webp,
1,Albanie (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
1,Albanie (Europe),flashcard,,2,1,text,Albanie,,
2,Allemagne (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/allemagne.webp,
2,Allemagne (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
2,Allemagne (Europe),flashcard,,2,1,text,Allemagne,,
3,Andorre (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/andorre.webp,
3,Andorre (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
3,Andorre (Europe),flashcard,,2,1,text,Andorre,,
4,Autriche (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/autriche.webp,
4,Autriche (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
4,Autriche (Europe),flashcard,,2,1,text,Autriche,,
5,Belgique (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/belgique.webp,
5,Belgique (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
5,Belgique (Europe),flashcard,,2,1,text,Belgique,,
6,Biélorussie (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bielorussie.webp,
6,Biélorussie (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
6,Biélorussie (Europe),flashcard,,2,1,text,Biélorussie,,
7,Bosnie-Herzégovine (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bosnie-herzegovine.webp,
7,Bosnie-Herzégovine (Europe),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
7,Bosnie-Herzégovine (Europe),flashcard,,2,1,text,Bosnie-Herzégovine,,
8,Bulgarie (Europe),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/bulgarie.webp,
