id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,Australie (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/australie.webp,
1,Australie (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
1,Australie (Océanie),flashcard,,2,1,text,Australie,,
2,Etats fédérés de Micronésie (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/etats-federes-de-micronesie.webp,
2,Etats fédérés de Micronésie (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
2,Etats fédérés de Micronésie (Océanie),flashcard,,2,1,text,Etats fédérés de Micronésie (Océanie),,
3,Fidji (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/fidji.webp,
3,Fidji (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
3,Fidji (Océanie),flashcard,,2,1,text,Fidji (Océanie),,
4,Iles Marshall (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/iles-marshall.webp,
4,Iles Marshall (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
4,Iles Marshall (Océanie),flashcard,,2,1,text,Iles Marshall (Océanie),,
5,Iles Salomon (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/iles-salomon.webp,
5,Iles Salomon (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
5,Iles Salomon (Océanie),flashcard,,2,1,text,Iles Salomon (Océanie),,
6,Kitibati (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/kitibati.webp,
6,Kitibati (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
6,Kitibati (Océanie),flashcard,,2,1,text,Kitibati (Océanie),,
7,Nauru (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/nauru.webp,
7,Nauru (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
7,Nauru (Océanie),flashcard,,2,1,text,Nauru (Océanie),,
8,Nouvelle-Zélande (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/nouvelle-zelande.webp,
8,Nouvelle-Zélande (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
8,Nouvelle-Zélande (Océanie),flashcard,,2,1,text,Nouvelle-Zélande (Océanie),,
9,Palaos (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/palaos.webp,
9,Palaos (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
9,Palaos (Océanie),flashcard,,2,1,text,Palaos (Océanie),,
10,Papouasie-Nouvelle-Guinée (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/papouasie-nouvelle-guinee.webp,
10,Papouasie-Nouvelle-Guinée (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
10,Papouasie-Nouvelle-Guinée (Océanie),flashcard,,2,1,text,Papouasie-Nouvelle-Guinée (Océanie),,
11,Samoa (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/samoa.webp,
11,Samoa (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
11,Samoa (Océanie),flashcard,,2,1,text,Samoa (Océanie),,
12,Tonga (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/tonga.webp,
12,Tonga (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
12,Tonga (Océanie),flashcard,,2,1,text,Tonga (Océanie),,
13,Tuvalu (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/tuvalu.webp,
13,Tuvalu (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
13,Tuvalu (Océanie),flashcard,,2,1,text,Tuvalu (Océanie),,
14,Vanuatu (Océanie),flashcard,,1,1,image,,https://f003.backblazeb2.com/file/notyloops/vanuatu.webp,
14,Vanuatu (Océanie),flashcard,,1,2,text,A quel pays appartient le drapeau ci-dessus ?,,
14,Vanuatu (Océanie),flashcard,,2,1,text,Vanuatu (Océanie),,
