card_name,card_id,content_index,image_url,markdown,swappable_sides,audio_url
Arrays 11,019c3814-8214-740f-af52-db2b9fef8abc,10,,"<pre><code class=""language-javascript"">const numbers = [0, 1, 2, 3, 4, 5];</code></pre>
      
<p>
        Create a new array <code class=""language-javascript"">selected</code> that contains all values of <code class=""language-javascript"">numbers</code> from index 1 to index 3.
</p>",false,
Arrays 11,019c3814-8214-740f-af52-db2b9fef8abc,20,,"<pre><code class=""language-javascript"">const numbers = [0, 1, 2, 3, 4, 5];

const selected = numbers.slice(1, 1 + 3);</code></pre>

<p>
      When we want to select consecutive elements of an array,
      the <code class=""language-javascript"">Array.prototype.slice()</code> method is the one to use.
</p>

<h3>Array.prototype.slice()</h3>

<p>
      In this method, the first index is the index of the first element to select,
      but the last index is not the index of the last element to select.
      It is the first index of the element to <strong>not</strong> select anymore.
</p>

<p>
      This might seem weird and inconvenient, but in fact, it is quite practical.
      If you have the first index and the number of elements to select, then
      the second index to use with the method is simply the addition of the first index with
      the number of elements. That is why we used  <code class=""language-javascript"">1 + 3</code>
      in our code above to compute the right last index to use in the method.
</p>

<p>
      The <code class=""language-javascript"">Array.prototype.slice()</code> method returns a shallow
      copy of a portion of an array into a new array object selected from <code class=""language-javascript"">start</code>
      to <code class=""language-javascript"">end</code> (<code class=""language-javascript"">end</code> <strong>not included</strong>)
      where <code class=""language-javascript"">start</code> and <code class=""language-javascript"">end</code>
      represent the index of elements in that array.
</p>

<p>
      The <code class=""language-javascript"">Array.prototype.slice()</code>
      method does <strong>NOT</strong> mutate the original array.
      A <strong>new array is returned</strong>. Don't confuse it with
      <code class=""language-javascript"">Array.prototype.splice()</code>, which is a mutating method.
</p>
    
<p>
      When we use <code class=""language-javascript"">Array.prototype.slice()</code> 
      without any parameter, the method returns a new array that is a shallow copy of the original array.
      Shallow means that the arrays are interdependent.
      Changing one array affects the other one, but only if the original array contains objects or references.
      However, if the original array contains only primitive values, then the
      <code class=""language-javascript"">Array.prototype.slice()</code> creates <strong>unintentionally</strong>
      a deep copy of the array, i.e. a totally independent array. So, in other words,
      remember that <code class=""language-javascript"">Array.prototype.slice()</code>
      creates a shallow copy of the original array, unless the original array happen to only have primitive values.
</p>

<p>When we use <code class=""language-javascript"">Array.prototype.slice()</code> with only one parameter (the <code class=""language-javascript"">start</code> index), the method returns a copy of the array from the <code class=""language-javascript"">start</code> index until the end of the original array.</p>
    <p>It is possible to use a negative indices to select a number of elements starting from the end of the array. For example, <code class=""language-javascript"">numbers.slice(-3)</code> selects the last 3 elements of the array. <code class=""language-javascript"">numbers.slice(-3, -1)</code> selects all elements from index -3 to index -2 (index -1 is excluded from the selection).</p>",false,
Arrays 12,019c3815-cce1-7e02-a8c0-909e6f4be784,10,,"<pre><code class=""language-javascript"">const numbers = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9];</code></pre>
      
<p>
        Delete the values <code class=""language-javascript"">2</code> and <code class=""language-javascript"">3</code>
        in <code class=""language-javascript"">numbers</code> and replace them with
        <code class=""language-javascript"">'a'</code> and <code class=""language-javascript"">'b'</code>.
</p>",false,
Arrays 12,019c3815-cce1-7e02-a8c0-909e6f4be784,20,,"<pre><code class=""language-javascript"">const numbers = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9];

numbers.splice(2, 2, 'a', 'b');</code></pre>

<h3>Array.prototype.splice()</h3>

<p>
        The <code class=""language-javascript"">Array.prototype.splice()</code> is a <strong>very powerful</strong> method.
        You can delete, replace or add elements to an array with just this single method.
</p>
      
<p>
        The method takes 1 mandatory argument and 2 or more optional arguments:
</p>

<ol>
        <li>
          A mandatory <code class=""language-javascript"">start</code> integer which is the index at which to start changing the array.
        </li>
        <li>
          An optional <code class=""language-javascript"">deleteCount</code> integer that
          indicates the number of elements in the array to remove from <code class=""language-javascript"">start</code>.
          If <code class=""language-javascript"">deleteCount</code> is omitted, or if its value is equal to or larger than
          <code class=""language-javascript"">array.length - start</code> (that is, if it is equal to or greater
          than the number of elements left in the array, starting at <code class=""language-javascript"">start</code>),
          then all the elements from <code class=""language-javascript"">start</code> to the end of the array will be deleted.
          If <code class=""language-javascript"">deleteCount</code> is 0 or negative, no elements are removed.
        </li>
        <li>
          Optional elements, which are the elements to add to the array, beginning from
          <code class=""language-javascript"">start</code>. If you do not specify any elements,
          <code class=""language-javascript"">splice()</code> will only remove elements from the array.
        </li>
</ol>

<p>
        Note that the return value of the <code class=""language-javascript"">Array.prototype.splice()</code>
        is <b>NOT</b> the mutated original array.
        The method returns an array containing the deleted elements.
        If only one element is removed, an array of one element is returned.
        If no elements are removed, an empty array is returned.
</p>

<p>
        Be careful when you want to just add elements to the array, without deleting any.
        In this case, the method adds the elements before the <code class=""language-javascript"">start</code>
        index you specify, not after. For example:
</p>

<pre><code class=""language-javascript"">const numbers = [0, 1, 2];

numbers.splice(2, 0, 'a', 'b');

console.log(numbers); // [0, 1, 'a', 'b', 2]</code></pre>",false,
Arrays 13,019c3817-10e5-7ee5-ac23-79a4df876460,10,,"<pre><code class=""language-javascript"">const numbers = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9];</code></pre>
      
<p>
        Delete all values from <code class=""language-javascript"">numbers</code>, starting at index <code class=""language-javascript"">4</code>.
        <code class=""language-javascript"">numbers</code> should only contain the values of indices 0, 1, 2 and 3.
</p>",false,
Arrays 13,019c3817-10e5-7ee5-ac23-79a4df876460,20,,"<pre><code class=""language-javascript"">const numbers = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9];

numbers.splice(4);</code></pre>

<p>
        This exercise is a special use of the <code class=""language-javascript"">Array.prototype.splice()</code>
        for only deleting elements in an array.
</p>

<p>
        When only one argument, the <code class=""language-javascript"">start</code> index,
        is passed to the method, then all of the elements from index <code class=""language-javascript"">start</code>
        to the end of the array are deleted. Note that the element at the <code class=""language-javascript"">start</code>
        is also deleted.
        In this case, the <code class=""language-javascript"">start</code> index is the index of the first element to delete.
</p>",false,
Arrays 14,019c381a-94d4-7145-9bd6-cda942c0db57,10,,"<pre><code class=""language-javascript"">const a = [1, 2, 3, 4, 5];</code></pre>
      
<p>
        Check if any value of <code class=""language-javascript"">a</code> is negative
        and store the resulting value into a new variable <code class=""language-javascript"">any</code>.
</p>",false,
Arrays 14,019c381a-94d4-7145-9bd6-cda942c0db57,20,,"<h3>Solution 1: Array.prototype.some()</h3>

<pre><code class=""language-javascript"">// Solution 1
const a = [1, 2, 3, 4, 5];

const any = a.some(el =&gt; el &lt; 0);</code></pre>

<p>
        <code class=""language-javascript"">Array.prototype.some()</code> checks if at least one element
        passes the test implemented by the provided function argument (the callback function).
        The function argument should return a Boolean value, and the method
        <code class=""language-javascript"">Array.prototype.some()</code> returns a Boolean value.
</p>

<p>
        <code class=""language-javascript"">Array.prototype.some()</code>, like many other Array methods,
        uses a <a href='/js-array-callback' target='_blank'>standard array callback</a> function.
</p>

<h3>Solutions 2: custom functions</h3>

<p>
        If you do not know <code class=""language-javascript"">Array.prototype.some()</code>,
        you can create a function that does the same thing (solutions 2a, 2b or 2c).
        Since we need to iterate through the elements of an array, the use of a <code class=""language-javascript"">for</code>
        loop is perfect for the job. We can use 3 different <code class=""language-javascript"">for</code>
        statements to iterate through an array.
</p>

<p>
        Resources:
</p>

<ul>
        <li>
          <a href=""/js-array-for"" target=""_blank"" rel=""noopener noreferrer"">
            iterate through Arrays with for statements</a>.
        </li>
</ul>

<pre><code class=""language-javascript"">// Solution 2a
const a = [1, 2, 3, 4, 5];

const some = (array, test) =&gt; {
  for (let i = 0; i &lt; array.length; i += 1) {
    if (test(array[i])) {
      return true;
    }
  }
  return false;
};

const any = some(a, el =&gt; el &lt; 0);</code></pre>

<pre><code class=""language-javascript"">// Solution 2b
const a = [1, 2, 3, 4, 5];

const some = (array, test) =&gt; {
  for (let el of array) {
    if (test(el)) {
      return true;
    }
  }
  return false;
};

const any = some(a, el =&gt; el &lt; 0);</code></pre>

<pre><code class=""language-javascript"">// Solution 2c
const a = [1, 2, 3, 4, 5];

const some = (array, test) =&gt; {
  for (let idx in array) {
    if (test(array[idx])) {
      return true;
    }
  }
  return false;
};

const any = some(a, el =&gt; el &lt; 0);</code></pre>",false,
Classes 01: classy cat,019c381d-906e-70c0-922c-1068f7e32687,10,,"<ol>
        <li>
          Declare a constuctor function named <code class=""language-javascript"">Cat()</code>,
          that can set the properties <code class=""language-javascript"">_age</code> and
          <code class=""language-javascript"">_name</code> of any instance of a cat.
        </li>
        <li>
          Add a function <code class=""language-javascript"">jump()</code> that can be common to all cat instances.
          Do not modify the code of the <code class=""language-javascript"">Cat()</code>constructor function you already declared.
          The <code class=""language-javascript"">jump()</code> method should log the string <code class=""language-javascript"">'Fiuuuuu!'</code>.
        </li>
        <li>
          Create a cat <code class=""language-javascript"">felix</code> named <code class=""language-javascript"">'Felix'</code>
          and aged <code class=""language-javascript"">3</code>.
        </li>
        <li>
          Create a cat <code class=""language-javascript"">tom</code> named <code class=""language-javascript"">'Tom'</code>
          and aged <code class=""language-javascript"">5</code>.
        </li>
        <li>
          Add a getter method for getting any cat name.
          The getter should be defined in the prototype of <code class=""language-javascript"">Cat</code>.
        </li>
        <li>
          Use the getter function to print to the screen the names of <code class=""language-javascript"">felix</code>
          an <code class=""language-javascript"">tom</code> in 2 separate statements.
        </li>
</ol>",false,
Classes 01: classy cat,019c381d-906e-70c0-922c-1068f7e32687,20,,"<pre><code class=""language-javascript"">// 1
function Cat(name, age) {
  this._age = age;
  this._name = name;
}

// 2
Cat.prototype.jump = function() {
  console.log('Fiuuuuu!');
}

// 3
const felix = new Cat('Felix', 3);

// 4
const tom = new Cat('Tom', 5);

// 5
Object.defineProperty(Cat.prototype, 'name', {
  get: function() {
  return this._name;
}
});

// 6
console.log(felix.name);
console.log(tom.name);</code></pre>

<h3>
        1
</h3>

<p>
        The keyword <code class=""language-javascript"">class</code> is syntactic sugar
        introduced in the ES6/ES2015 specification to make the creation of classes easier.
        However, it was possible to create classes of objects before this ECMAScript specification.
</p>

<p>
        The first function <code class=""language-javascript"">Cat()</code>
        (with the PascalCase to signal that it is a constructor function)
        is the constructor function that lets us store the specific data properties for cats:
        their <code class=""language-javascript"">_age</code> and their <code class=""language-javascript"">_name</code>.
        By convention, we prepend the property names with an underscore to signal that these properties
        should not be accessed directly, but only through getter and setter methods.
</p>

<h3>
        2
</h3>

<p>
        Every constructor function has a prototype object that any object created with the
        function inherits properties from. So, we add the function <code class=""language-javascript"">jump()</code>
        directly as another property of the <code class=""language-javascript"">Cat.prototype</code> object.
        Any <code class=""language-javascript"">Cat</code> object will have access to the method
        <code class=""language-javascript"">jump()</code> that is stored in a single place.
        We could also have added the function directly in the constructor function like this:
</p>

<pre><code class=""language-javascript"">function Cat(name, age) {
  this._age = age;
  this._name = name;
  this.jump = function() {
    console.log('Fiuuuuu!');
  }
}</code></pre>

<p>
        But this doesn't follow the DRY pattern (Don't Repeat Yourself),
        as every <code class=""language-javascript"">Cat</code> objects would have the exact same function defined at the instance level,
        rather than at the prototype level.
</p>

<h3>
        3 and 4
</h3>

<p>
        We create 2 new <code class=""language-javascript"">Cat</code> objects by invoking the constructor function
        <code class=""language-javascript"">Cat()</code> with the <code class=""language-javascript"">new</code> operator.
        The constructor function takes in the name and the age of the <code class=""language-javascript"">Cat</code>
        object we want to create as arguments.
</p>

<h3>
        5
</h3>

<p>
        We add the getter method <code class=""language-javascript"">name()</code> by using the method
        <code class=""language-javascript"">Object.defineProperty()</code>.
</p>

<h3>
        6
</h3>

<p>
        Then, we are able to log the name of each cat by calling the getter method <code class=""language-javascript"">name()</code>
        just like we would access a data property of the <code class=""language-javascript"">Cat</code> object.
</p>",false,
