card_name,card_id,content_index,image_url,markdown,swappable_sides,audio_url
New York,1070ca61-5d0d-4ca7-acb0-8e2e6cdf570c,10,https://f003.backblazeb2.com/file/optileague/4_1757175107879_new-york.png,What is the capital of the state of New York?,false,
New York,1070ca61-5d0d-4ca7-acb0-8e2e6cdf570c,20,,Albany,false,
Delaware,199c0f56-5d9a-4289-aa46-ec80f8085f05,10,https://f003.backblazeb2.com/file/optileague/4_1757174588089_delaware.png,What is the capital of the state of Delaware?,false,
Delaware,199c0f56-5d9a-4289-aa46-ec80f8085f05,20,,Dover,false,
Virginia,1e135e20-6cfe-4cbb-a8a6-51cf1325c6cd,10,https://f003.backblazeb2.com/file/optileague/1_1757173377590_virginia.png,What is the capital of the state of Virginia?,false,
Virginia,1e135e20-6cfe-4cbb-a8a6-51cf1325c6cd,20,,Richmond,false,
Alaska,1e63651b-4c05-42df-b497-455b99972404,10,https://f003.backblazeb2.com/file/optileague/4_1757174525593_alaska.png,What is the capital of the state of Alaska?,false,
Alaska,1e63651b-4c05-42df-b497-455b99972404,20,,Juneau,false,
Georgia,24c21fda-2b21-4812-9fc7-83900653fe26,10,https://f003.backblazeb2.com/file/optileague/4_1757174610037_georgia.png,What is the capital of the state of Georgia?,false,
Georgia,24c21fda-2b21-4812-9fc7-83900653fe26,20,,Atlanta,false,
Louisiana,285babb0-d6e9-4be9-a036-09b217f1f309,10,https://f003.backblazeb2.com/file/optileague/4_1757174755143_louisiana.png,What is the capital of the state of Louisiana?,false,
Louisiana,285babb0-d6e9-4be9-a036-09b217f1f309,20,,Baton Rouge,false,
Rhode Island,2dd08635-ff0f-46fe-a307-beeb69b08da4,10,https://f003.backblazeb2.com/file/optileague/1_1757173525031_rhone-island.png,What is the capital of the state of Rhode Island?,false,
Rhode Island,2dd08635-ff0f-46fe-a307-beeb69b08da4,20,,Providence,false,
Indiana,39478b70-e371-4fc4-b63b-80f299dece37,10,https://f003.backblazeb2.com/file/optileague/4_1757174714404_indiana.png,What is the capital of the state of Indiana?,false,
Indiana,39478b70-e371-4fc4-b63b-80f299dece37,20,,Indianapolis,false,
Nebraska,3b5bc265-fb6a-408e-96c3-f7b3bb987b06,10,https://f003.backblazeb2.com/file/optileague/4_1757174955569_nebraska.png,What is the capital of the state of Nebraska?,false,
Nebraska,3b5bc265-fb6a-408e-96c3-f7b3bb987b06,20,,Lincoln,false,
Maryland,47e07773-4236-48bc-a14f-57a2fd850cce,10,https://f003.backblazeb2.com/file/optileague/4_1757174854253_maryland.png,What is the capital of the state of Maryland?,false,
Maryland,47e07773-4236-48bc-a14f-57a2fd850cce,20,,Annapolis,false,
Missouri,49b6ba98-2097-40d6-bb8c-5db1358570e3,10,https://f003.backblazeb2.com/file/optileague/1_1757173588020_missouri.png,What is the capital of the state of Missouri?,false,
Missouri,49b6ba98-2097-40d6-bb8c-5db1358570e3,20,,Jefferson City,false,
Michigan,603c47ba-7006-4779-8326-442df745bb5b,10,https://f003.backblazeb2.com/file/optileague/4_1757174879837_michigan.png,What is the capital of the state of Michigan?,false,
Michigan,603c47ba-7006-4779-8326-442df745bb5b,20,,Lansing,false,
New Mexico,66a2a165-1f7d-4528-8d18-babc481503a3,10,https://f003.backblazeb2.com/file/optileague/4_1757175086836_new-mexico.png,What is the capital of the state of New Mexico?,false,
New Mexico,66a2a165-1f7d-4528-8d18-babc481503a3,20,,Santa Fe,false,
Maine,67d5d51c-e599-4930-aad5-3e5d61c9d86e,10,https://f003.backblazeb2.com/file/optileague/4_1757174842235_maine.png,What is the capital of the state of Maine?,false,
Maine,67d5d51c-e599-4930-aad5-3e5d61c9d86e,20,,Augusta,false,
Arkansas,6f8ac610-e251-4b08-a56d-3ed6c89d91f0,10,https://f003.backblazeb2.com/file/optileague/4_1757174546485_arizona.png,What is the capital of the state of Arkansas?,false,
Arkansas,6f8ac610-e251-4b08-a56d-3ed6c89d91f0,20,,Little Rock,false,
Oklahoma,70740153-f109-488c-a213-aa33dab56dce,10,https://f003.backblazeb2.com/file/optileague/4_1757175161214_oklahoma.png,What is the capital of the state of Oklahoma?,false,
Oklahoma,70740153-f109-488c-a213-aa33dab56dce,20,,Oklahoma City,false,
Washington,711dd760-3003-4446-aa10-995e7c768e72,10,https://f003.backblazeb2.com/file/optileague/1_1757173359485_washington.png,What is the capital of the state of Washington?,false,
Washington,711dd760-3003-4446-aa10-995e7c768e72,20,,Olympia,false,
West Virginia,7aed4c37-f11c-4fdd-be51-e255d0939b35,10,https://f003.backblazeb2.com/file/optileague/1_1757173341463_west-virginia.png,What is the capital of the state of West Virginia?,false,
West Virginia,7aed4c37-f11c-4fdd-be51-e255d0939b35,20,,Charleston,false,
Wyoming,874bd914-5438-4988-87ce-2e3e7bde5045,10,https://f003.backblazeb2.com/file/optileague/1_1757173298270_wyoming.png,What is the capital of the state of Wyoming?,false,
Wyoming,874bd914-5438-4988-87ce-2e3e7bde5045,20,,Cheyenne,false,
North Carolina,8a4b5e77-4c0b-480d-a807-a8dc50ef0647,10,https://f003.backblazeb2.com/file/optileague/4_1757175121962_north-carolina.png,What is the capital of the state of North Carolina?,false,
North Carolina,8a4b5e77-4c0b-480d-a807-a8dc50ef0647,20,,Raleigh,false,
